ID,data_field,Data Set,data_structure,Data Type,Length
22803,Account Closed Indicator,Access Layer,TDS LCR Rolling 65 Day,CHAR,3
22871,Account Closed Indicator,Access Layer,TDS NSFR Latest Day,CHAR,3
22933,Account Closed Indicator,Access Layer,TDS NSFR Rolling 65 Day,CHAR,3
22726,Account Closed Indicator,Access Layer,TDS LCR Latest Day,CHAR,3
19725,Account Closed Indicator,Access Layer,Account General Dimension,CHAR,3
22413,Account Closed Indicator,Access Layer,TDS Cash Flow Rolling 65 Day,CHAR,3
22342,Account Closed Indicator,Access Layer,TDS Cash Flow Latest Day,CHAR,3
22482,Account Closed Indicator,Access Layer,TDS Deposits Latest Day,CHAR,3
17633,Account Currency Identifier,CAL170830 Logical Name,Account General Daily Fact,INTEGER,0
18022,Account Currency Identifier,CAL170830 Logical Name,Account Liquidity Daily Fact,INTEGER,0
18693,Account Currency Identifier,CAL170830 Logical Name,NSFR Stability Category x Account Liquidity Deposit Relationship Daily Fact,INTEGER,0
18744,Account Currency Identifier,CAL170830 Logical Name,LCR Outflow Category x Customer x Account Liqudity Deposit Relationship,INTEGER,0
17579,Account Currency Identifier,CAL170830 Logical Name,Notice Dimension,INTEGER,0
17693,Account Currency Identifier,CAL170830 Logical Name,Account Liquidity Deposit Daily Fact,INTEGER,0
17754,Account Currency Identifier,CAL170830 Logical Name,Account General Dimension,INTEGER,0
18059,Account Currency Identifier,CAL170830 Logical Name,Account General x Customer Relationship Fact,INTEGER,0
18654,Account Currency Identifier,CAL170830 Logical Name,LCR Outflow Category X Account Liquidity Deposit Relationship Daily Fact,INTEGER,0
18965,Account Currency Identifier,CAL170830 Logical Name,Account Liquidity Cash Flow Fact,INTEGER,0
19871,Account Currency Identifier,Access Layer,Account Liquidity Deposit Daily Fact,INTEGER,0
19846,Account Currency Identifier,Access Layer,Account Liquidity Daily Fact,INTEGER,0
19726,Account Currency Identifier,Access Layer,Account General Dimension,INTEGER,0
19816,Account Currency Identifier,Access Layer,Account Liquidity Cash Flow Fact,INTEGER,0
19795,Account Currency Identifier,Access Layer,Account General x Customer Relationship Fact,INTEGER,0
21715,Account Currency Identifier,Access Layer,NSFR EBA Daily Fact,INTEGER,0
22804,Account Currency Identifier,Access Layer,TDS LCR Rolling 65 Day,INTEGER,0
22872,Account Currency Identifier,Access Layer,TDS NSFR Latest Day,INTEGER,0
22934,Account Currency Identifier,Access Layer,TDS NSFR Rolling 65 Day,INTEGER,0
22987,Account Currency Identifier,Access Layer,TDS Treasury Balance Rolling 3 Year,INTEGER,0
23200,Account Currency Identifier,Access Layer,TRP Top 200 Customers Rolling 30 Day,INTEGER,0
22727,Account Currency Identifier,Access Layer,TDS LCR Latest Day,INTEGER,0
21210,Account Currency Identifier,Access Layer,LCR Outflow Category X Account Liquidity Deposit Relationship Daily Fact,INTEGER,0
21231,Account Currency Identifier,Access Layer,LCR Outflow Category x Customer x Account Liqudity Deposit Relationship,INTEGER,0
19677,Account Currency Identifier,Access Layer,Account General Daily Fact,INTEGER,0
21269,Account Currency Identifier,Access Layer,LCR Report Daily Fact,INTEGER,0
21688,Account Currency Identifier,Access Layer,NSFR BIS Daily Fact,INTEGER,0
21668,Account Currency Identifier,Access Layer,Notice Dimension,INTEGER,0
21812,Account Currency Identifier,Access Layer,NSFR Stability Category x Account Liquidity Deposit Relationship Daily Fact,INTEGER,0
22414,Account Currency Identifier,Access Layer,TDS Cash Flow Rolling 65 Day,INTEGER,0
22343,Account Currency Identifier,Access Layer,TDS Cash Flow Latest Day,INTEGER,0
22483,Account Currency Identifier,Access Layer,TDS Deposits Latest Day,INTEGER,0
22323,Account Currency Identifier,Access Layer,Stickiness Report Daily Fact,INTEGER,0
22620,Account Currency Identifier,Access Layer,TDS Deposits Rolling 65 Day,INTEGER,0
23102,Account Currency Identifier,Access Layer,TRP Liquidity Deposits Rolling 13 Month,INTEGER,0
17648,Account General Identifier,CAL170830 Logical Name,Account General Daily Fact,INTEGER,0
18028,Account General Identifier,CAL170830 Logical Name,Account Liquidity Daily Fact,INTEGER,0
18005,Account General Identifier,CAL170830 Logical Name,Account General x Customer Relationship,INTEGER,0
17765,Account General Identifier,CAL170830 Logical Name,Account General Dimension,INTEGER,0
18063,Account General Identifier,CAL170830 Logical Name,Account General x Customer Relationship Fact,INTEGER,0
19847,Account General Identifier,Access Layer,Account Liquidity Daily Fact,INTEGER,0
19727,Account General Identifier,Access Layer,Account General Dimension,INTEGER,0
19678,Account General Identifier,Access Layer,Account General Daily Fact,INTEGER,0
19779,Account General Identifier,Access Layer,Account General x Customer Relationship,INTEGER,0
19796,Account General Identifier,Access Layer,Account General x Customer Relationship Fact,INTEGER,0
22873,Account General Identifier,Access Layer,TDS NSFR Latest Day,INTEGER,0
22728,Account General Identifier,Access Layer,TDS LCR Latest Day,INTEGER,0
22344,Account General Identifier,Access Layer,TDS Cash Flow Latest Day,INTEGER,0
22484,Account General Identifier,Access Layer,TDS Deposits Latest Day,INTEGER,0
17261,Account Guarantee Eligible Indicator,CAL170830 Logical Name,Account Liquidity Deposit Dimension,CHAR,3
19917,Account Guarantee Eligible Indicator,Access Layer,Account Liquidity Deposit Dimension,CHAR,3
22415,Account Guarantee Eligible Indicator,Access Layer,TDS Cash Flow Rolling 65 Day,CHAR,3
22345,Account Guarantee Eligible Indicator,Access Layer,TDS Cash Flow Latest Day,CHAR,3
17662,Account Guaranteed Percent,CAL170830 Logical Name,Account Liquidity Deposit Daily Fact,DECIMAL,27
19872,Account Guaranteed Percent,Access Layer,Account Liquidity Deposit Daily Fact,DECIMAL,27
17629,Account Holder Count,CAL170830 Logical Name,Account General Daily Fact,INTEGER,0
19679,Account Holder Count,Access Layer,Account General Daily Fact,INTEGER,0
18056,Account Holder Operational Balance Portion Amount,CAL170830 Logical Name,Account General x Customer Relationship Fact,DECIMAL,23
19797,Account Holder Operational Balance Portion Amount,Access Layer,Account General x Customer Relationship Fact,DECIMAL,23
23201,Account Holder Operational Balance Portion Amount GRC EUR,Access Layer,TRP Top 200 Customers Rolling 30 Day,DECIMAL,23
17638,Account Holder Portion Balance Amount,CAL170830 Logical Name,Account General Daily Fact,DECIMAL,23
19680,Account Holder Portion Balance Amount,Access Layer,Account General Daily Fact,DECIMAL,23
22621,Account Holder Portion Balance Amount GRC EUR,Access Layer,TDS Deposits Rolling 65 Day,DECIMAL,23
22485,Account Holder Portion Balance Amount GRC EUR,Access Layer,TDS Deposits Latest Day,DECIMAL,23
22486,Account Holder Portion Balance Amount LRC EUR,Access Layer,TDS Deposits Latest Day,DECIMAL,23
22622,Account Holder Portion Balance Amount LRC EUR,Access Layer,TDS Deposits Rolling 65 Day,DECIMAL,23
22487,Account Holder Portion Balance Amount LRC GBP,Access Layer,TDS Deposits Latest Day,DECIMAL,23
22623,Account Holder Portion Balance Amount LRC GBP,Access Layer,TDS Deposits Rolling 65 Day,DECIMAL,23
22488,Account Holder Portion Balance Amount LRC USD,Access Layer,TDS Deposits Latest Day,DECIMAL,23
22624,Account Holder Portion Balance Amount LRC USD,Access Layer,TDS Deposits Rolling 65 Day,DECIMAL,23
17255,Account Internal Dormant Indicator,CAL170830 Logical Name,Account Liquidity Deposit Dimension,CHAR,3
19918,Account Internal Dormant Indicator,Access Layer,Account Liquidity Deposit Dimension,CHAR,3
22346,Account Internal Dormant Indicator,Access Layer,TDS Cash Flow Latest Day,CHAR,3
22416,Account Internal Dormant Indicator,Access Layer,TDS Cash Flow Rolling 65 Day,CHAR,3
17280,Account Liquidity Deposit Identifier,CAL170830 Logical Name,Account Liquidity Deposit Dimension,INTEGER,0
18751,Account Liquidity Deposit Identifier,CAL170830 Logical Name,LCR Outflow Category x Customer x Account Liqudity Deposit Relationship,INTEGER,0
18698,Account Liquidity Deposit Identifier,CAL170830 Logical Name,NSFR Stability Category x Account Liquidity Deposit Relationship Daily Fact,INTEGER,0
17583,Account Liquidity Deposit Identifier,CAL170830 Logical Name,Notice Dimension,INTEGER,0
17702,Account Liquidity Deposit Identifier,CAL170830 Logical Name,Account Liquidity Deposit Daily Fact,INTEGER,0
18660,Account Liquidity Deposit Identifier,CAL170830 Logical Name,LCR Outflow Category X Account Liquidity Deposit Relationship Daily Fact,INTEGER,0
18970,Account Liquidity Deposit Identifier,CAL170830 Logical Name,Account Liquidity Cash Flow Fact,INTEGER,0
19873,Account Liquidity Deposit Identifier,Access Layer,Account Liquidity Deposit Daily Fact,INTEGER,0
19817,Account Liquidity Deposit Identifier,Access Layer,Account Liquidity Cash Flow Fact,INTEGER,0
21813,Account Liquidity Deposit Identifier,Access Layer,NSFR Stability Category x Account Liquidity Deposit Relationship Daily Fact,INTEGER,0
19919,Account Liquidity Deposit Identifier,Access Layer,Account Liquidity Deposit Dimension,INTEGER,0
21211,Account Liquidity Deposit Identifier,Access Layer,LCR Outflow Category X Account Liquidity Deposit Relationship Daily Fact,INTEGER,0
21232,Account Liquidity Deposit Identifier,Access Layer,LCR Outflow Category x Customer x Account Liqudity Deposit Relationship,INTEGER,0
